Country,Airport
Austria, Hohenems Dornbirn Airport (HOH/LOIH) 
Austria, Innsbruck Kranebitten Airport (INN/LOWI) 
Austria, Klagenfurt Airport (KLU/LOWK) 
Austria, Linz Airport (LNZ/LOWL) 
Austria, Salzburg Airport (SZG/LOWS) 
Austria, Sankt Johann Airport (QOJ/LOIJ) 
Austria, Scharding Suben Airport (QOS/LOLS) 
Austria, Vienna International Airport (VIE/LOWW) 
Austria, Vienna Voslau Airport (QOV/LOAV) 
Austria, Wiener Neustadt East Airport (QEW/LOAN) 
Austria, Zell am See Airport (QOZ/LOWZ) 
Azerbaijan, Baku Heydar Aliyev International Airport (GYD/UBBB) 
Azerbaijan, Fuzuli International Airport (FZL/UBBF) 
Azerbaijan, Ganja International Airport (GNJ/UBBG) 
Azerbaijan, Lankaran International Airport (LLK/UBBL) 
Azerbaijan, Nakhchivan International Airport (NAJ/UBBN) 
Azerbaijan, Qabala International Airport (GBB/UBBQ) 
Azerbaijan, Zangilan International Airport (ZZE/UBBZ) 
Bahamas, Andros Town International Airport (ASD/MYAF) 
Bahamas, Arthur's Town Airport (ATC/MYCA) 
Bahamas, Cat Cays Airport (CXY/MYCC) 
Bahamas, Chub Cay International Airport (CCZ/MYBC) 
Bahamas, Congo Town South Andros Airport (TZN/MYAK) 
Bahamas, Crooked Island Colonel Hill Airport (CRI/MYCI) 
Bahamas, Deadman's Cay Airport (LGI/MYLD) 
Bahamas, Duncan Town Airport (DCT/MYRD) 
Bahamas, Freeport Grand Bahama International Airport (FPO/MYGF) 
Bahamas, George Town Exuma International Airport (GGT/MYEF) 
Bahamas, Governor's Harbour Airport (GHB/MYEM) 
Bahamas, Great Harbour Cay Airport (GHC/MYBG) 
Bahamas, Inagua Matthew Town Airport (IGA/MYIG) 
Bahamas, Mangrove Cay Clarence A. Bain Airport (MAY/MYAB) 
Bahamas, Marsh Harbour Airport (MHH/MYAM) 
Bahamas, Mayaguana Airport (MYG/MYMM) 
Bahamas, Nassau Lynden Pindling International Airport (NAS/MYNN) 
Bahamas, New Bight Airport (TBI/MYCB) 
Bahamas, Norman's Cay Airport (NMC/MYEN) 
Bahamas, North Eleuthera Airport (ELH/MYEH) 
